,a101,a102,a103,a104,a105,a106,a107,a108,a109,a110,a111,a112,a113,a114,a115,a116,a117,a118,a119,a120,a121,a122,a123,a124,a125,a126,a127,a128,malware,count
0,[-1.3999747],[-0.677481878],[-0.5891620740000001],[-0.514023262],[0.16053143999999994],[-0.76562681],[0.07681263420000001],[0.5222319639999999],[-0.885989572],[0.24991202219999997],[1.365318462],[-0.924227404],[-0.247959706],[0.15571830319999996],[-1.469605394],[-0.458260942],[-2.3133174000000003],[1.792015816],[-1.0487172008],[-0.17716362400000002],[-0.727978778],[-1.1476823360000001],[-1.4797745699999998],[0.412532619],[0.544391286],[-0.8269204059999999],[0.5740593420000001],[-0.04981459219999999],0,5
1,[-1.970816133333333],[-1.0357207333333334],[-0.9026545266666667],[-0.4918497206666666],[-0.09362111666666671],[-1.1791250166666667],[-0.07980001616666667],[0.7889655893333333],[-0.22550861999999997],[0.2896147533333333],[1.6649272416666665],[-0.27233221166666666],[0.4108257393333333],[0.2988570995],[-1.2332460633333333],[-1.0136050699999999],[-1.5661559166666663],[0.7144651999999999],[-1.10980186],[0.73112042],[-0.8108859700000001],[-1.0345538416666666],[-0.9876084533333334],[-0.27411361666666667],[0.2851834625],[0.25562102616666665],[0.7280480700000002],[-0.40926895333333335],0,6
2,[-1.0562843983333334],[-0.39381082000000006],[-0.3547799383333334],[-0.11946576516666667],[0.5295394516666667],[-0.08711536333333332],[0.22666735000000002],[0.3553189616666667],[0.099691712],[-0.20193060833333332],[0.42205488333333335],[-0.39216252500000004],[0.4146277233333333],[-0.037265843],[-0.38309483666666666],[-0.7042842933333334],[-0.7759157099999999],[0.27069756483333335],[-0.49049095750000005],[0.155977475],[-0.40371580833333337],[-0.7949153933333335],[-0.6414911733333333],[-0.04770983733333334],[0.25726753166666666],[-0.13974445733333335],[0.4662944816666666],[-0.2812981766666666],0,6
3,[-1.6676384066666667],[-0.39000403833333336],[-0.43808727666666664],[-0.1932165183333333],[0.7855892500000001],[-0.598115445],[0.20912762583333333],[0.6108583983333334],[0.13160267833333333],[0.030427934333333333],[0.3563028466666666],[-0.6209542046666666],[0.4158615683333333],[0.14350571166666667],[-0.9524609516666667],[-1.00879301],[-0.8901726983333335],[0.5710528066666667],[-0.8719948416666666],[0.5731906933333334],[-0.49265996500000003],[-1.1311324166666668],[-0.6429699400000001],[-0.2978459133333334],[0.07637745033333333],[0.11033649833333332],[0.5255351500000001],[-0.2639419883333333],0,6
4,[-1.2816681699999999],[-0.393966626],[-0.8335067220000001],[-0.41922862959999996],[0.16169107199999994],[-0.66881371],[-0.012563871999999998],[0.796409828],[-0.042811746],[0.25209855999999997],[0.619246519],[-0.40488234],[0.32577630599999996],[0.026057851999999992],[-0.653604142],[-0.9800114460000001],[-0.90244272],[0.458551646],[-0.590965298],[0.260893386],[-0.530743084],[-0.192859732],[-0.7846004619999999],[-0.37908050840000007],[0.3542197224],[-0.40831972800000005],[0.339890744],[-0.1438694874],0,5
5,[-1.24367306],[-0.5829801166666667],[-0.717052725],[-0.32398314116666665],[0.5704931416666666],[-0.5994269333333333],[0.19632241966666666],[0.6025205096666667],[0.15914010166666667],[0.42194336],[0.8301220171666666],[-0.5375253366666666],[0.540255055],[0.19183605],[-0.5313657806666666],[-0.9318474916666668],[-0.6891300216666667],[0.7418926],[-0.2950093166666667],[0.05913268683333334],[-0.28928250066666666],[-0.23647804233333333],[-0.62042612],[-0.13923671033333332],[0.644641065],[-0.3915810525],[0.9214742616666668],[-0.06696506666666667],0,6
6,[-1.128899705],[-0.4343035966666666],[-0.558913645],[-0.3777145806666667],[0.359262505],[0.20222229300000003],[0.19158484666666667],[0.484553145],[-0.06466682266666667],[-0.021978160000000007],[0.8681842266666665],[-0.16465912666666668],[0.3558607466666666],[0.020890481666666655],[-0.4566582101666667],[-0.9081556266666667],[-0.8517739400000001],[0.08120568666666668],[-0.3407335633333333],[0.49740127916666665],[-0.32501390933333335],[-0.21465243066666664],[-0.29149480333333333],[-0.038018179333333325],[0.5050446666666667],[-0.6691139549999999],[0.5236016383333334],[-0.3341560516666667],0,6
7,[-1.8556394000000003],[-0.8475511133333334],[-1.0016303583333335],[-0.3093802445],[0.019330824999999996],[0.8244472983333333],[-0.164023865],[0.650114585],[-0.015141071],[-0.19784859666666665],[0.9168600800000001],[-0.22480001833333332],[-0.56440771],[0.11541709666666666],[-0.4164841133333333],[-0.9995876883333331],[-1.7575519833333333],[0.6548228866666667],[-0.7998142133333334],[0.8950101533333332],[-0.8729816816666666],[0.6084440516666666],[-0.38413436000000006],[1.0926701049999998],[0.9963766866666667],[-0.6655197583333333],[0.7124862933333334],[-0.8036141516666667],0,6
8,[-1.7225896199999997],[-0.505454546],[-0.848096136],[-0.433195742],[-0.05835850799999999],[-1.28170056],[0.875625788],[1.2904974539999998],[-0.20775627719999998],[0.605042474],[1.6578873399999998],[-0.7951046940000001],[0.612158752],[0.639799732],[-1.09162514],[-0.6980627079999999],[-2.0691462599999997],[1.42512998],[-0.622134624],[0.007086159999999997],[-0.1622103212],[-0.26224855],[-1.2008121799999998],[-0.250056482],[0.8137512339999999],[-0.693890946],[0.6112727224000001],[-0.18607387599999997],0,5
9,[-1.7690447833333331],[-0.8738239583333334],[-1.0283499333333332],[-0.7967626666666666],[-0.11911978166666666],[-1.0969359933333334],[0.903327705],[0.41876877],[0.03742876783333334],[0.3618986483333333],[1.8254911999999999],[-0.24104081583333334],[0.130655298],[0.48354231000000003],[-0.6427846833333334],[-0.80049213],[-0.40084008666666665],[1.4298081500000002],[-0.4322051833333333],[-0.32407953100000003],[-0.3835476593333333],[-0.11680237733333333],[-0.666140885],[-0.04168951166666666],[1.6648536333333335],[-0.20670459766666668],[0.343185061],[-0.9934094383333333],0,6
10,[-1.06134468],[-0.4106019316666667],[-0.58924784],[-0.3409883976666666],[0.21146936716666667],[-0.35516708333333336],[0.7032683566666665],[0.7894534816666666],[-0.06785178766666668],[0.11088986550000002],[0.8056001033333334],[-0.30758076666666667],[0.2681622616666666],[0.15017282433333334],[-0.2980246566666667],[-0.7469552183333333],[-0.7769109666666667],[0.250616825],[-0.2341552545],[0.07593918333333334],[-0.259904207],[-0.008051689166666669],[-0.5215660066666666],[0.09860064666666667],[0.55636021],[-0.41687572666666656],[0.662167935],[-0.22694143366666664],0,6
11,[-1.4422887500000001],[-0.8250088199999999],[-0.4506360216666667],[-0.117994795],[-0.20520255333333334],[-0.283677535],[0.773719685],[1.3695602833333334],[-0.2609749495],[0.5555846483333333],[0.9458776316666667],[-0.49992701333333334],[0.3521361565],[0.182824185],[-0.620797089],[-0.63997906],[-1.276423095],[1.5611071833333332],[-0.3264362333333333],[0.023539679000000004],[-0.19642576216666666],[0.11841315783333332],[-0.8503927933333334],[0.193402069],[0.6371998783333334],[-0.5122425566666667],[0.4154207025],[-0.12642446666666665],0,6
12,[-1.8715626799999998],[-0.94932744],[-0.9607084299999998],[-0.506822892],[-0.53706508],[-0.8239749],[0.9599253299999999],[1.39228182],[-0.2959090974],[0.674241874],[1.1396025],[-0.77579652],[-0.05630248400000001],[-0.22880589799999998],[-0.785624304],[-1.1565335700000001],[-2.01291256],[1.24211176],[-0.81266698],[0.326726592],[-0.2462046934],[-0.143566265],[-1.1800966199999998],[0.037586089999999996],[0.93436768],[-0.589590072],[0.938899384],[-0.3196312806],0,5
13,[-1.5212495433333333],[-0.6506773233333333],[-0.9573514783333333],[-0.32085096083333337],[0.5096769583333334],[-0.7712124333333333],[0.781776015],[0.7914389933333333],[-0.14342637716666667],[0.11257147966666665],[1.1594376650000002],[-0.13340748383333334],[0.5296169441666667],[0.5749014153333333],[-0.1418801316666667],[-0.81463968],[-0.6112896766666668],[0.36859107500000005],[-0.5168120138333333],[0.646195905],[0.14493829116666668],[0.1265086266666667],[-0.495738215],[-0.10017813666666668],[0.33129245],[-0.3318445758333333],[0.5325449616666668],[-0.2496674333333333],0,6
14,[-2.51323575],[-0.45178762333333333],[-1.0106772566666666],[-0.37897247500000003],[-0.7158534178333333],[0.20647946833333333],[1.7446136333333335],[1.02712498],[-0.6649182066666667],[0.1480607283333333],[1.5639422666666667],[-0.7661578733333334],[0.4066907893333333],[0.5131409683333333],[-0.6098857966666666],[-0.44958413666666663],[-1.492115216666667],[0.7859091016666665],[-0.670251525],[1.30543741],[0.13891976766666667],[-0.10162790983333332],[-0.3453990966666667],[0.08701441],[0.7121974799999999],[-0.31819476216666664],[0.15182182466666666],[-0.58626166],0,6
15,[-1.5433201566666666],[-0.6951683933333332],[-0.6327870333333333],[-0.4883173963333333],[-0.051149801000000016],[-0.14323159733333332],[0.8720412833333334],[0.45179860583333326],[-0.008113896333333334],[-0.09073686666666665],[1.1854628833333332],[-0.43233462500000003],[0.5210407883333333],[0.30951778],[-0.271514325],[-0.93559809],[-0.8047863216666666],[0.11902482199999997],[-0.6487137466666666],[0.5336687383333333],[-0.23205533900000005],[-0.16766609266666666],[-0.577504905],[0.02629908283333333],[0.7231833316666666],[-0.41416031333333336],[0.39739038233333335],[-0.286497805],0,6
16,[-1.0959395920000001],[-0.70494989],[-0.77836327],[-0.5952090708],[0.8871104759999999],[-0.3443267976],[0.777337814],[0.27982830399999997],[-0.069754512],[0.22284741940000002],[0.946554396],[-0.13496014080000002],[0.5414978180000001],[-0.2385390514],[-0.20201765040000003],[-0.8976088780000001],[-0.9974333659999999],[0.02770171400000001],[-0.6616124286],[-0.2643761628],[-0.357376172],[-0.253175142],[0.3829660406],[-0.1492436084],[0.30208108199999995],[-0.803487406],[0.8337649819999999],[-0.23440317800000005],0,5
17,[-0.76943465],[-0.38585557333333337],[-0.36269231166666666],[-0.08724046899999999],[0.232366065],[-0.1801541571666667],[0.4222816523333333],[0.4769260833333333],[-0.04469671983333332],[0.10855490866666667],[0.3775985083333333],[-0.1905834923333333],[0.757615665],[-0.044643760666666664],[-0.332091015],[-0.6273293883333334],[-0.38657386833333335],[0.44171682000000007],[-0.15551335166666666],[0.12257056066666665],[-0.38526891999999996],[-0.010749358999999995],[-0.11011533416666665],[-0.12679021099999999],[0.171199894],[-0.013438960833333334],[0.33388287166666664],[-0.3551927723333334],0,6
18,[-1.1096177283333335],[-0.7272028333333332],[-0.6240733933333333],[-0.291237277],[0.5304368188333333],[-0.1923851533333333],[0.5768519116666667],[0.413432065],[-0.42828541333333336],[0.19835907400000005],[0.42676782],[-0.28165066099999997],[0.6827264033333332],[0.32460547283333335],[-0.21064509383333332],[-1.0935792149999999],[-1.0025328316666666],[0.002854319333333332],[-0.3290687483333334],[-0.27887813],[-0.29694216333333334],[-0.29702206333333336],[0.2256195916666667],[-0.36578024666666664],[0.6281100416666666],[-0.30815552616666664],[0.5953046216666668],[-0.4069184049999999],0,6
19,[-1.008667765],[-0.52990426],[-0.7633957566666667],[-0.01574772966666667],[0.3604307725],[0.009727148999999996],[0.175334781],[0.3331066283333333],[0.05160384199999999],[-0.1763753495],[0.7645255016666668],[-0.18831227166666664],[0.353283923],[0.27929247316666667],[-0.14186149916666665],[-0.6154175816666666],[-0.6568409583333333],[0.08033167116666667],[-0.3117102666666667],[0.4928790566666667],[-0.17772175166666668],[-0.5406730503333333],[0.12382194983333333],[-0.19084475700000003],[0.39444562],[-0.4074213066666667],[0.40566942999999994],[-0.32203937650000003],0,6
20,[-1.6761005400000002],[-0.6211709219999999],[-1.5991091919999998],[-0.2506633688],[0.578911978],[0.041992783],[0.61541938],[1.112744192],[-0.189130448],[-0.1048949874],[0.204597674],[0.0772689],[0.5439165],[-0.2280567],[-0.6429643840000001],[-0.9614007480000002],[-0.4119519904000001],[-0.589950538],[-0.6247193739999999],[0.537332162],[-0.730327728],[-0.29744762999999996],[0.47419854260000005],[-0.727973774],[0.39790627599999995],[-0.515981332],[1.16495646],[-1.162663648],0,5
21,[-0.6793656316666666],[-0.39105155333333336],[-0.4425837433333333],[-0.071034334],[0.364760612],[-0.08385769],[0.3277032183333333],[0.7375777716666666],[-0.11950910999999999],[0.009105617499999991],[0.017004816666666662],[-0.29190431],[0.653292485],[0.17380754833333334],[-0.3177000326666667],[-0.8566184016666666],[-0.59497462],[0.3513713316666667],[-0.14724041999999998],[0.18828402833333335],[-0.333244205],[0.016573529499999996],[0.05561674116666667],[-0.15443824400000003],[0.09447014666666669],[-0.2120435635],[0.3948903916666667],[-0.349077485],0,6
22,[-1.3243463916666667],[-0.41003905333333335],[-0.347225755],[-0.39247692999999995],[0.20982668200000001],[-0.2916616111666667],[0.6297296466666665],[0.9584979083333334],[-0.08261913499999998],[0.38857360766666676],[0.9095919983333333],[-0.36440536500000004],[0.47296802],[0.3430277366666667],[-0.341226878],[-0.9151895516666668],[-0.9498733416666666],[0.32222807000000003],[-0.47369674166666664],[0.18820410166666668],[-0.3850235483333333],[-0.1824984791666667],[-0.08901870783333332],[-0.3361878308333333],[0.36681961],[-0.2939786831666667],[0.24274238549999996],[-0.3543581816666667],0,6
23,[-1.66188355],[-0.5063297883333334],[-0.6812212383333334],[-0.29778484],[0.06860788166666668],[-0.4187421783333333],[0.5295165766666666],[1.0468658166666667],[-0.15364925766666668],[0.917479815],[1.9573843833333333],[-0.10171120233333335],[0.3710386108333333],[-0.18989286166666666],[-0.35368563999999997],[-0.5685007633333333],[-0.7398488211666666],[0.5617494433333333],[-0.1695970775],[-0.18561748433333336],[-0.25065049933333333],[-0.18240929616666668],[-0.0192875585],[-0.45251607],[0.8104636900000001],[-0.45671641500000004],[-0.07164178866666665],[0.021461568666666663],0,6
